"","Path","Tour.Length","Fold","EAX.PAR10","EAX.PQR10","EAX.LOG.PAR10","EAX.LOG.PQR10","LKH.PAR10","LKH.PQR10","LKH.LOG.PAR10","LKH.LOG.PQR10"
"1","eax---lkh---sophisticated/1000-1.tsp",19.7644,4,3.3818,3.087,1.2184,1.1272,358.1937,272.3695,5.8811,5.6072
"2","eax---lkh---sophisticated/1000-10.tsp",18.305,8,3.4272,3.463,1.2317,1.2421,21.8275,12.8845,3.0832,2.556
"3","eax---lkh---sophisticated/1000-100.tsp",21.0411,8,3.4749,3.104,1.2456,1.1327,4852.7462,1224.7585,8.4873,7.1105
"4","eax---lkh---sophisticated/1000-101.tsp",20.0882,1,3.1878,3.2305,1.1593,1.1726,11539.0038,1848.2625,9.3535,7.522
"5","eax---lkh---sophisticated/1000-102.tsp",19.4008,3,3.1704,3.1565,1.1539,1.1495,942.6114,836.113,6.8487,6.7288
"6","eax---lkh---sophisticated/1000-103.tsp",19.9165,5,3.3638,3.408,1.2131,1.2261,25815.6602,36000,10.1587,10.4913
"7","eax---lkh---sophisticated/1000-104.tsp",20.3877,5,4.269,3.366,1.4514,1.2137,113.1364,94.2745,4.7286,4.5462
"8","eax---lkh---sophisticated/1000-105.tsp",22.8291,4,5.1606,4.0925,1.6411,1.4092,998.6961,867.588,6.9065,6.7657
"9","eax---lkh---sophisticated/1000-106.tsp",19.6302,10,3.5777,3.5315,1.2747,1.2617,15065.1523,1770.334,9.6201,7.4789
"10","eax---lkh---sophisticated/1000-107.tsp",21.0885,10,2.9685,2.9995,1.0881,1.0984,4838.1857,1249.9005,8.4843,7.1308
"11","eax---lkh---sophisticated/1000-108.tsp",20.2202,8,3.0812,3.108,1.1253,1.134,15773.1484,3188.0695,9.6661,8.0672
"12","eax---lkh---sophisticated/1000-109.tsp",18.2244,3,3.0778,3.0735,1.1242,1.1228,11.5738,7.22,2.4487,1.9769
"13","eax---lkh---sophisticated/1000-11.tsp",19.5469,6,3.0673,3.126,1.1208,1.1398,456.9942,394.753,6.1247,5.9783
"14","eax---lkh---sophisticated/1000-110.tsp",20.089,2,8.7557,6.2435,2.1697,1.8315,429.7747,288.9815,6.0633,5.6664
"15","eax---lkh---sophisticated/1000-111.tsp",17.6936,6,2.6799,2.6385,0.9858,0.9702,36000,36000,10.4913,10.4913
"16","eax---lkh---sophisticated/1000-112.tsp",20.6719,9,3.459,3.4415,1.241,1.2359,24.2118,22.514,3.1868,3.1141
"17","eax---lkh---sophisticated/1000-113.tsp",22.9502,4,3.7567,3.2865,1.3235,1.1898,8637.9117,2217.1805,9.0639,7.704
"18","eax---lkh---sophisticated/1000-114.tsp",21.5323,4,3.6774,3.6045,1.3022,1.2822,2.9232,1.822,1.0727,0.5999
"19","eax---lkh---sophisticated/1000-115.tsp",18.9223,10,3.519,3.533,1.2582,1.2621,285.0179,197.1945,5.6526,5.2842
"20","eax---lkh---sophisticated/1000-116.tsp",19.2577,2,4.0767,3.1155,1.4053,1.1364,12215.9134,3053.925,9.4105,8.0242
"21","eax---lkh---sophisticated/1000-117.tsp",19.8717,4,3.0169,3.09,1.1042,1.1282,593.8773,559.5105,6.3867,6.3271
"22","eax---lkh---sophisticated/1000-118.tsp",23.0972,4,6.6999,4.905,1.9021,1.5903,30.1094,28.0465,3.4048,3.3339
"23","eax---lkh---sophisticated/1000-119.tsp",20.7015,4,3.848,3.3815,1.3476,1.2183,213.4459,228.785,5.3634,5.4328
"24","eax---lkh---sophisticated/1000-12.tsp",21.1615,1,3.7405,3.295,1.3192,1.1924,315.77,233.46,5.755,5.453
"25","eax---lkh---sophisticated/1000-120.tsp",20.175,1,3.708,3.071,1.3105,1.122,32620.1208,36000,10.3927,10.4913
"26","eax---lkh---sophisticated/1000-121.tsp",23.5068,2,3.6453,3.566,1.2934,1.2714,53.8637,40.2445,3.9865,3.695
"27","eax---lkh---sophisticated/1000-122.tsp",18.5822,2,2.7891,2.851,1.0257,1.0477,1014.6855,684.427,6.9223,6.5286
"28","eax---lkh---sophisticated/1000-123.tsp",21.0259,2,3.1362,3.1665,1.143,1.1526,1036.352,937.888,6.9435,6.8436
"29","eax---lkh---sophisticated/1000-124.tsp",22.6425,5,3.5819,3.546,1.2759,1.2658,389.0015,296.8895,5.9636,5.6934
"30","eax---lkh---sophisticated/1000-125.tsp",19.4293,1,3.167,3.165,1.1528,1.1522,57.9196,51.7245,4.0591,3.9459
"31","eax---lkh---sophisticated/1000-126.tsp",23.0272,9,4.641,3.8735,1.5349,1.3542,331.3073,270.3865,5.803,5.5999
"32","eax---lkh---sophisticated/1000-127.tsp",21.4873,5,3.2717,3.263,1.1853,1.1826,11911.9444,2221.346,9.3853,7.7059
"33","eax---lkh---sophisticated/1000-128.tsp",18.159,4,3.4224,3.459,1.2303,1.241,36000,36000,10.4913,10.4913
"34","eax---lkh---sophisticated/1000-129.tsp",21.6716,1,3.4367,3.4665,1.2345,1.2431,29.8299,19.4075,3.3955,2.9657
"35","eax---lkh---sophisticated/1000-13.tsp",20.6815,8,5.3471,3.393,1.6766,1.2217,29472.5079,36000,10.2912,10.4913
"36","eax---lkh---sophisticated/1000-130.tsp",19.7983,10,6.3573,3.9615,1.8496,1.3766,43.1587,43.5395,3.7649,3.7737
"37","eax---lkh---sophisticated/1000-131.tsp",21.1522,7,3.4105,3.377,1.2269,1.217,25979.2918,36000,10.1651,10.4913
"38","eax---lkh---sophisticated/1000-132.tsp",18.8556,4,3.3187,2.957,1.1996,1.0842,87.3379,46.1115,4.4698,3.8311
"39","eax---lkh---sophisticated/1000-133.tsp",19.0694,9,3.9995,3.8805,1.3862,1.356,2.9585,2.427,1.0847,0.8867
"40","eax---lkh---sophisticated/1000-134.tsp",22.9371,6,3.3931,3.3335,1.2217,1.204,201.0116,156.357,5.3034,5.0521
"41","eax---lkh---sophisticated/1000-135.tsp",21.9756,8,3.9559,3.4015,1.3752,1.2242,28978.4668,36000,10.2743,10.4913
"42","eax---lkh---sophisticated/1000-136.tsp",21.2563,1,3.4891,3.479,1.2496,1.2467,4306.111,638.3705,8.3678,6.4589
"43","eax---lkh---sophisticated/1000-137.tsp",16.9806,3,2.5652,2.6065,0.942,0.958,36000,36000,10.4913,10.4913
"44","eax---lkh---sophisticated/1000-138.tsp",20.5192,1,3.3231,3.259,1.2009,1.1814,215.0327,109.7705,5.3708,4.6984
"45","eax---lkh---sophisticated/1000-139.tsp",20.9419,7,3.0235,3.012,1.1064,1.1026,50.9974,23.539,3.9318,3.1587
"46","eax---lkh---sophisticated/1000-14.tsp",20.3451,10,3.2199,3.2395,1.1694,1.1754,2.4032,2.0135,0.8768,0.6999
"47","eax---lkh---sophisticated/1000-140.tsp",19.3326,10,3.4052,3.3675,1.2253,1.2142,1271.8332,1190.317,7.1482,7.082
"48","eax---lkh---sophisticated/1000-141.tsp",19.9985,8,2.9708,3.0595,1.0888,1.1183,32405.4376,36000,10.3861,10.4913
"49","eax---lkh---sophisticated/1000-142.tsp",20.0443,8,4.7706,3.4985,1.5625,1.2523,25484.7898,36000,10.1458,10.4913
"50","eax---lkh---sophisticated/1000-143.tsp",22.425,1,3.6832,3.7265,1.3038,1.3155,147.2138,149.2305,4.9919,5.0055
"51","eax---lkh---sophisticated/1000-144.tsp",20.7351,8,3.3309,3.345,1.2032,1.2075,15490.0548,2579.2895,9.648,7.8553
"52","eax---lkh---sophisticated/1000-145.tsp",19.9665,9,4.826,3.3865,1.574,1.2198,25839.3306,36000,10.1597,10.4913
"53","eax---lkh---sophisticated/1000-146.tsp",20.1921,5,3.9719,3.2875,1.3792,1.1901,954.8613,856.252,6.8616,6.7526
"54","eax---lkh---sophisticated/1000-147.tsp",20.2576,2,5.0149,3.3125,1.6124,1.1977,364.0315,360.022,5.8972,5.8862
"55","eax---lkh---sophisticated/1000-148.tsp",22.245,5,4.3852,3.432,1.4782,1.2331,445.6972,342.833,6.0996,5.8372
"56","eax---lkh---sophisticated/1000-149.tsp",20.6503,8,3.6283,3.1455,1.2888,1.146,582.6395,372.006,6.3676,5.9189
"57","eax---lkh---sophisticated/1000-15.tsp",18.5202,6,2.6359,2.652,0.9692,0.9753,29216.5743,36000,10.2825,10.4913
