,Unnamed: 0,Path,Tour.Length,Fold,EAX.PAR10,EAX.PQR10,EAX.LOG.PAR10,EAX.LOG.PQR10,LKH.PAR10,LKH.PQR10,LKH.LOG.PAR10,LKH.LOG.PQR10,mst_dists_mean,mst_dists_median,mst_dists_varcoeff,mst_dists_sum
0,1,eax---lkh---sophisticated/1000-1.tsp,19.7644,4,3.3818,3.087,1.2184,1.1272,358.1937,272.3695,5.8811,5.6072,0.17397458104097702,0.158533906834104,0.72065024459948,0.35894601592612
1,2,eax---lkh---sophisticated/1000-10.tsp,18.305,8,3.4272,3.463,1.2317,1.2421,21.8275,12.8845,3.0832,2.556,0.159897504523897,0.134819723823378,0.736464702907409,0.290983258042618
2,3,eax---lkh---sophisticated/1000-100.tsp,21.0411,8,3.4749,3.104,1.2456,1.1327,4852.7462,1224.7585,8.4873,7.1105,0.186133917066034,0.17140288439699802,0.608080645887156,0.360396173242782
3,4,eax---lkh---sophisticated/1000-101.tsp,20.0882,1,3.1878,3.2305,1.1593,1.1726,11539.0038,1848.2625,9.3535,7.522,0.179702946554891,0.159935465936482,0.642153743896652,0.390275105441778
4,5,eax---lkh---sophisticated/1000-102.tsp,19.4008,3,3.1704,3.1565,1.1539,1.1495,942.6114,836.113,6.8487,6.7288,0.170603759519158,0.15018108050339501,0.725844179387904,0.34210449561307704
5,6,eax---lkh---sophisticated/1000-103.tsp,19.9165,5,3.3638,3.408,1.2131,1.2261,25815.6602,36000.0,10.1587,10.4913,0.17537058644842002,0.15208279466893798,0.680789401493837,0.35128421123543296
6,7,eax---lkh---sophisticated/1000-104.tsp,20.3877,5,4.269,3.366,1.4514,1.2137,113.1364,94.2745,4.7286,4.5462,0.180179763977561,0.162152370206342,0.700301832271532,0.365950195920067
7,8,eax---lkh---sophisticated/1000-105.tsp,22.8291,4,5.1606,4.0925,1.6411,1.4092,998.6961,867.588,6.9065,6.7657,0.20441688837238198,0.199019134004748,0.493070975284442,0.385557629336031
8,9,eax---lkh---sophisticated/1000-106.tsp,19.6302,10,3.5777,3.5315,1.2747,1.2617,15065.1523,1770.334,9.6201,7.4789,0.17240808757467402,0.156627148724008,0.756667253284946,0.325328484928046
9,10,eax---lkh---sophisticated/1000-107.tsp,21.0885,10,2.9685,2.9995,1.0881,1.0984,4838.1857,1249.9005,8.4843,7.1308,0.185747736659506,0.171053457989109,0.624976143320771,0.361429195038543
10,11,eax---lkh---sophisticated/1000-108.tsp,20.2202,8,3.0812,3.108,1.1253,1.134,15773.1484,3188.0695,9.6661,8.0672,0.17874672584099802,0.158548802754456,0.700373287824189,0.350571888275028
11,12,eax---lkh---sophisticated/1000-109.tsp,18.2244,3,3.0778,3.0735,1.1242,1.1228,11.5738,7.22,2.4487,1.9769,0.15827192855851901,0.124879976767513,0.842629041291175,0.313577683412794
12,13,eax---lkh---sophisticated/1000-11.tsp,19.5469,6,3.0673,3.126,1.1208,1.1398,456.9942,394.753,6.1247,5.9783,0.17353326885013598,0.160910661660771,0.655965936517795,0.338525567780162
13,14,eax---lkh---sophisticated/1000-110.tsp,20.089,2,8.7557,6.2435,2.1697,1.8315,429.7747,288.9815,6.0633,5.6664,0.179386468640122,0.15707320293437102,0.684513506039972,0.350638723214849
14,15,eax---lkh---sophisticated/1000-111.tsp,17.6936,6,2.6799,2.6385,0.9858,0.9702,36000.0,36000.0,10.4913,10.4913,0.15280828873667798,0.118475984235148,0.848837432277642,0.299185248521459
15,16,eax---lkh---sophisticated/1000-112.tsp,20.6719,9,3.459,3.4415,1.241,1.2359,24.2118,22.514,3.1868,3.1141,0.18264392532951398,0.167588920441466,0.604851368321566,0.36196823674809603
16,17,eax---lkh---sophisticated/1000-113.tsp,22.9502,4,3.7567,3.2865,1.3235,1.1898,8637.9117,2217.1805,9.0639,7.704,0.20758133665717,0.20145752796929098,0.463253217333049,0.39737658373943796
17,18,eax---lkh---sophisticated/1000-114.tsp,21.5323,4,3.6774,3.6045,1.3022,1.2822,2.9232,1.822,1.0727,0.5999,0.192489934280026,0.18044143617068398,0.537431627874373,0.382819948954434
18,19,eax---lkh---sophisticated/1000-115.tsp,18.9223,10,3.519,3.533,1.2582,1.2621,285.0179,197.1945,5.6526,5.2842,0.16669419838524002,0.134327225525611,0.81203520999789,0.376941868708663
19,20,eax---lkh---sophisticated/1000-116.tsp,19.2577,2,4.0767,3.1155,1.4053,1.1364,12215.9134,3053.925,9.4105,8.0242,0.17060530721869,0.146402811764732,0.746971024388312,0.347265213743226
20,21,eax---lkh---sophisticated/1000-117.tsp,19.8717,4,3.0169,3.09,1.1042,1.1282,593.8773,559.5105,6.3867,6.3271,0.175065738541593,0.154607297697178,0.72161123151347,0.349600104973458
21,22,eax---lkh---sophisticated/1000-118.tsp,23.0972,4,6.6999,4.905,1.9021,1.5903,30.1094,28.0465,3.4048,3.3339,0.20923360141073,0.203157323401507,0.471252475458284,0.399100567979166
22,23,eax---lkh---sophisticated/1000-119.tsp,20.7015,4,3.848,3.3815,1.3476,1.2183,213.4459,228.785,5.3634,5.4328,0.184038196296748,0.158514650270501,0.698044067894456,0.362810407260701
23,24,eax---lkh---sophisticated/1000-12.tsp,21.1615,1,3.7405,3.295,1.3192,1.1924,315.77,233.46,5.755,5.453,0.187187617602534,0.17114795066573302,0.621974304993346,0.37089695463868805
24,25,eax---lkh---sophisticated/1000-120.tsp,20.175,1,3.708,3.071,1.3105,1.122,32620.1208,36000.0,10.3927,10.4913,0.177423527046736,0.151826412091482,0.680198517684548,0.351628631444177
25,26,eax---lkh---sophisticated/1000-121.tsp,23.5068,2,3.6453,3.566,1.2934,1.2714,53.8637,40.2445,3.9865,3.695,0.214546980023894,0.210420886339754,0.447823991588146,0.408487179257346
26,27,eax---lkh---sophisticated/1000-122.tsp,18.5822,2,2.7891,2.851,1.0257,1.0477,1014.6855,684.427,6.9223,6.5286,0.16313950247324402,0.136076865669527,0.817874457898154,0.34173077657178497
27,28,eax---lkh---sophisticated/1000-123.tsp,21.0259,2,3.1362,3.1665,1.143,1.1526,1036.352,937.888,6.9435,6.8436,0.185442015037749,0.172801096365552,0.648718913031346,0.352297879029825
28,29,eax---lkh---sophisticated/1000-124.tsp,22.6425,5,3.5819,3.546,1.2759,1.2658,389.0015,296.8895,5.9636,5.6934,0.20312966047276398,0.19370635886343202,0.531461691956192,0.40053983621307104
29,30,eax---lkh---sophisticated/1000-125.tsp,19.4293,1,3.167,3.165,1.1528,1.1522,57.9196,51.7245,4.0591,3.9459,0.170931988966758,0.145228365689881,0.740609928598294,0.34105860111026104
30,31,eax---lkh---sophisticated/1000-126.tsp,23.0272,9,4.641,3.8735,1.5349,1.3542,331.3073,270.3865,5.803,5.5999,0.209462594712315,0.202979239308258,0.484588273675968,0.39648325693082
31,32,eax---lkh---sophisticated/1000-127.tsp,21.4873,5,3.2717,3.263,1.1853,1.1826,11911.9444,2221.346,9.3853,7.7059,0.191420935159905,0.17284739883935402,0.588233841192572,0.371960585941799
32,33,eax---lkh---sophisticated/1000-128.tsp,18.159,4,3.4224,3.459,1.2303,1.241,36000.0,36000.0,10.4913,10.4913,0.15891116043974302,0.138422746526665,0.837225460196837,0.30851600826586
33,34,eax---lkh---sophisticated/1000-129.tsp,21.6716,1,3.4367,3.4665,1.2345,1.2431,29.8299,19.4075,3.3955,2.9657,0.193730211117352,0.181075958936633,0.577754336305186,0.388204056193588
34,35,eax---lkh---sophisticated/1000-13.tsp,20.6815,8,5.3471,3.393,1.6766,1.2217,29472.5079,36000.0,10.2912,10.4913,0.18339484639855902,0.166657120231535,0.653531825967083,0.365594795836217
35,36,eax---lkh---sophisticated/1000-130.tsp,19.7983,10,6.3573,3.9615,1.8496,1.3766,43.1587,43.5395,3.7649,3.7737,0.176719877523239,0.16593298028409897,0.614598199412561,0.391816453216225
36,37,eax---lkh---sophisticated/1000-131.tsp,21.1522,7,3.4105,3.377,1.2269,1.217,25979.2918,36000.0,10.1651,10.4913,0.188045244108352,0.175571864415108,0.616790565176759,0.361917254792956
37,38,eax---lkh---sophisticated/1000-132.tsp,18.8556,4,3.3187,2.957,1.1996,1.0842,87.3379,46.1115,4.4698,3.8311,0.168418906632504,0.146927823816974,0.747871758101977,0.328963202901108
38,39,eax---lkh---sophisticated/1000-133.tsp,19.0694,9,3.9995,3.8805,1.3862,1.356,2.9585,2.427,1.0847,0.8867,0.16823171433441303,0.13186200123533698,0.811317330870365,0.337480952641043
39,40,eax---lkh---sophisticated/1000-134.tsp,22.9371,6,3.3931,3.3335,1.2217,1.204,201.0116,156.357,5.3034,5.0521,0.208121357945554,0.20847070091408298,0.461473307525782,0.39452867987475
40,41,eax---lkh---sophisticated/1000-135.tsp,21.9756,8,3.9559,3.4015,1.3752,1.2242,28978.4668,36000.0,10.2743,10.4913,0.196227317247947,0.187322610022278,0.551326851826758,0.38227286416980405
41,42,eax---lkh---sophisticated/1000-136.tsp,21.2563,1,3.4891,3.479,1.2496,1.2467,4306.111,638.3705,8.3678,6.4589,0.189473134770148,0.17034292630326903,0.641253686470294,0.372438562105969
42,43,eax---lkh---sophisticated/1000-137.tsp,16.9806,3,2.5652,2.6065,0.942,0.958,36000.0,36000.0,10.4913,10.4913,0.145345490106041,0.10218629689539199,0.995207055829206,0.316532370328713
43,44,eax---lkh---sophisticated/1000-138.tsp,20.5192,1,3.3231,3.259,1.2009,1.1814,215.0327,109.7705,5.3708,4.6984,0.181163987329499,0.163501540884073,0.647193889430108,0.36169947193982604
44,45,eax---lkh---sophisticated/1000-139.tsp,20.9419,7,3.0235,3.012,1.1064,1.1026,50.9974,23.539,3.9318,3.1587,0.18531910987095002,0.16702731200673798,0.647476952688364,0.361839582775261
